customer_id,tenure_months,monthly_charges,contract_type,support_tickets_last_90d,payment_method,on_promo,churned
CUST_00000,8.4,86.57,month-to-month,1,credit_card,0,1
CUST_00001,54.2,66.26,month-to-month,3,paypal,0,1
CUST_00002,23.7,47.87,month-to-month,1,credit_card,1,0
CUST_00003,16.4,69.12,two-year,1,credit_card,0,1
CUST_00004,3.1,50.82,month-to-month,2,credit_card,0,0
CUST_00005,3.1,46.11,one-year,0,paypal,1,1
CUST_00006,1.1,36.91,month-to-month,1,paypal,0,0
CUST_00007,36.2,24.96,month-to-month,1,credit_card,0,1
CUST_00008,16.5,52.2,month-to-month,1,paypal,0,1
CUST_00009,22.2,63.16,one-year,3,credit_card,0,1
CUST_00010,0.4,58.07,month-to-month,2,paypal,0,1
CUST_00011,63.1,51.68,two-year,1,direct_debit,1,0
CUST_00012,32.2,41.09,month-to-month,2,credit_card,0,0
CUST_00013,4.3,72.16,month-to-month,3,credit_card,0,1
CUST_00014,3.6,33.66,two-year,1,credit_card,0,1
CUST_00015,3.6,75.52,month-to-month,0,credit_card,0,1
CUST_00016,6.5,39.96,month-to-month,1,direct_debit,1,0
CUST_00017,13.4,44.95,one-year,0,credit_card,0,1
CUST_00018,10.2,30.66,month-to-month,1,paypal,0,1
CUST_00019,6.2,49.97,one-year,1,direct_debit,0,0
CUST_00020,17.0,79.51,month-to-month,1,direct_debit,0,1
CUST_00021,2.7,70.31,month-to-month,2,credit_card,0,1
CUST_00022,6.2,79.57,month-to-month,2,paypal,0,1
CUST_00023,8.2,70.44,one-year,1,direct_debit,0,0
CUST_00024,11.0,37.93,month-to-month,2,paypal,1,1
CUST_00025,27.7,53.38,one-year,0,paypal,0,0
CUST_00026,4.0,44.4,two-year,0,credit_card,0,1
CUST_00027,13.0,86.61,month-to-month,5,credit_card,0,1
CUST_00028,16.2,36.06,month-to-month,0,paypal,0,0
CUST_00029,0.9,77.87,month-to-month,0,paypal,0,1
CUST_00030,16.8,77.86,month-to-month,1,direct_debit,1,1
CUST_00031,3.4,96.59,month-to-month,0,credit_card,0,1
CUST_00032,1.2,51.81,one-year,1,direct_debit,0,1
CUST_00033,53.5,74.25,two-year,1,credit_card,1,0
CUST_00034,60.7,105.63,two-year,3,credit_card,0,1
CUST_00035,29.7,47.65,two-year,1,direct_debit,0,0
CUST_00036,6.5,29.3,two-year,1,credit_card,0,0
CUST_00037,1.8,22.4,month-to-month,3,direct_debit,0,0
CUST_00038,20.7,74.25,one-year,2,paypal,0,0
CUST_00039,10.4,22.34,two-year,3,paypal,0,0
CUST_00040,2.3,52.55,month-to-month,1,paypal,0,1
CUST_00041,12.3,68.75,two-year,0,paypal,0,1
CUST_00042,0.6,63.7,month-to-month,0,credit_card,1,1
CUST_00043,43.2,68.51,one-year,1,paypal,1,0
CUST_00044,5.4,64.45,one-year,5,paypal,0,0
CUST_00045,19.6,85.58,two-year,1,paypal,0,1
CUST_00046,6.7,40.95,month-to-month,4,direct_debit,0,0
CUST_00047,13.2,46.46,one-year,1,credit_card,0,0
CUST_00048,14.2,44.55,month-to-month,0,credit_card,0,1
CUST_00049,3.7,76.6,month-to-month,3,credit_card,0,1
CUST_00050,62.9,78.01,one-year,3,paypal,0,1
CUST_00051,26.9,69.02,month-to-month,2,direct_debit,1,0
CUST_00052,50.5,83.67,one-year,2,paypal,0,1
CUST_00053,40.5,36.44,month-to-month,1,direct_debit,1,1
CUST_00054,16.4,93.34,month-to-month,3,direct_debit,1,0
CUST_00055,45.9,90.46,one-year,4,credit_card,0,0
CUST_00056,1.7,74.71,month-to-month,2,credit_card,0,1
CUST_00057,3.9,95.64,month-to-month,1,credit_card,0,1
CUST_00058,0.8,26.87,two-year,2,direct_debit,0,1
CUST_00059,7.1,49.51,month-to-month,2,credit_card,0,0
CUST_00060,8.9,45.29,one-year,3,direct_debit,0,0
CUST_00061,5.7,74.43,month-to-month,0,credit_card,0,0
